epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.139,1.208,2.96842,1.65791,0.3284,0.46208,0.32798,0.17448,1.51782,2.43862,2.38075,0.000367247,0.000367247,0.000367247
2,59.794,1.22128,2.10909,1.64881,0.50787,0.45999,0.42135,0.21306,1.71852,2.64059,2.43863,0.00059154,0.00059154,0.00059154
3,84.6425,1.17071,1.84524,1.60222,0.46073,0.53929,0.48847,0.23495,1.72608,2.0799,2.2508,0.00066918,0.00066918,0.00066918
4,109.846,1.14451,1.71162,1.56825,0.58131,0.57705,0.60251,0.34504,1.5301,1.61405,2.30354,0.000451066,0.000451066,0.000451066
5,140.506,1.04801,1.55404,1.50579,0.74009,0.55309,0.63936,0.38303,1.47436,1.48594,2.07486,0.000231088,0.000231088,0.000231088
